Name,Author,release date,language,genre,age class,price
It Ends With Us,Colleen Hoover,8/2/2016,English,Romance,A,$10.75 
Fourth Wing,Rebecca Yarros,5/2/2023,English,Romance,T,$12.40 
A Court of Thorns and Roses,Sarah J. Maas,5/5/2015,English,Romance,A,$14.99 
All the Light We Cannot See,Anthony Doerr,4/4/2017,English,Historical Fiction,T,$17.25 
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,6/13/2017,English,Historical Fiction,A,$19.80 
The Silent Patient,Alex Michaelides,2/5/2019,English,Thriller,A,$22.50 
The Summer I turned pretty,Jenny Han,5/5/2009,English,Romance,T,$25.30 
Before We Were Yours,Lisa Wingate,6/6/2017,English,Historical Fiction,A,$28.45 
The Three-Body Problem,Liu Cixin,5/1/2006,Mandarin,Science Fiction,A,$30.00 
Momo,Michael Ende,1/1/1973,German,Philosophical Fiction,E,$33.20 
The House of the Spirits,Isabel Allende,1/2/1982,Spanish,Magic,T,$36.75 
